,,,,,,,,,,,,,,,,
Rk,Team,Date,Spread,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,Game time
1,SEA,12/1/24,0,42,37,Sun,12,13,@,NYJ,W 26-21,0,covered,42,over,early
2,TEN,12/1/24,6,44.5,42,Sun,12,13,@,WAS,L 19-42,6,did not cover,44.5,over,early
3,WAS,12/1/24,-6,44.5,42,Sun,13,13,,TEN,W 42-19,-6,covered,44.5,over,early
4,ARI,12/1/24,3.5,44.5,12,Sun,12,13,@,MIN,L 22-23,3.5,covered,44.5,over,early
5,MIN,12/1/24,-3.5,44.5,12,Sun,12,13,,ARI,W 23-22,-3.5,did not cover,44.5,over,early
6,IND,12/1/24,-2.5,42.5,36,Sun,13,13,@,NWE,W 25-24,-2.5,did not cover,42.5,over,early
7,NYJ,12/1/24,0,42,37,Sun,12,13,,SEA,L 21-26,0,did not cover,42,over,early
8,CIN,12/1/24,-3,47,32,Sun,12,13,,PIT,L 38-44,-3,did not cover,47,over,early
9,NWE,12/1/24,2.5,42.5,36,Sun,13,13,,IND,L 24-25,2.5,covered,42.5,over,early
10,PIT,12/1/24,3,47,32,Sun,12,13,@,CIN,W 44-38,3,covered,47,over,early
11,CHI,11/28/24,9.5,48,38,Thu,12,13,@,DET,L 20-23,9.5,covered,48,under,early
12,DET,11/28/24,-9.5,48,38,Thu,12,13,,CHI,W 23-20,-9.5,did not cover,48,under,early
13,IND,11/24/24,7.5,50,51,Sun,12,12,,DET,L 6-24,7.5,did not cover,50,under,early
14,DAL,11/24/24,10.5,45,55,Sun,11,12,@,WAS,W 34-26,10.5,covered,45,over,early
15,DET,11/24/24,-7.5,50,51,Sun,11,12,@,IND,W 24-6,-7.5,covered,50,under,early
16,CHI,11/24/24,3.5,39.5,47,Sun,11,12,,MIN,L 27-30 (OT),3.5,covered,39.5,over,early
17,TEN,11/24/24,9,40.5,78,Sun,11,12,@,HOU,W 32-27,9,covered,40.5,over,early
18,MIA,11/24/24,-7,46,77,Sun,11,12,,NWE,W 34-15,-7,covered,46,over,early
19,NYG,11/24/24,6,40.5,50,Sun,11,12,,TAM,L 7-30,6,did not cover,40.5,under,early
20,MIN,11/24/24,-3.5,39.5,47,Sun,11,12,@,CHI,W 30-27 (OT),-3.5,did not cover,39.5,over,early
21,CAR,11/24/24,11,43,61,Sun,11,12,,KAN,L 27-30,11,covered,43,over,early
22,KAN,11/24/24,-11,43,61,Sun,11,12,@,CAR,W 30-27,-11,did not cover,43,over,early
23,TAM,11/24/24,-6,40.5,50,Sun,11,12,@,NYG,W 30-7,-6,covered,40.5,under,early
24,WAS,11/24/24,-10.5,45,55,Sun,12,12,,DAL,L 26-34,-10.5,did not cover,45,over,early
25,NWE,11/24/24,7,46,77,Sun,12,12,@,MIA,L 15-34,7,did not cover,46,over,early
26,HOU,11/24/24,-9,40.5,78,Sun,12,12,,TEN,L 27-32,-9,did not cover,40.5,over,early
27,NOR,11/17/24,1,44,76,Sun,11,11,,CLE,W 35-14,1,covered,44,over,early
28,PIT,11/17/24,3,48.5,52,Sun,10,11,,BAL,W 18-16,3,covered,48.5,under,early
29,MIA,11/17/24,-7.5,43.5,80,Sun,10,11,,LVR,W 34-19,-7.5,covered,43.5,over,early
30,NWE,11/17/24,4.5,43.5,59,Sun,11,11,,LAR,L 22-28,4.5,did not cover,43.5,over,early
31,DET,11/17/24,-14,47,68,Sun,10,11,,JAX,W 52-6,-14,covered,47,over,early
32,CHI,11/17/24,5.5,40.5,54,Sun,10,11,,GNB,L 19-20,5.5,covered,40.5,under,early
33,BAL,11/17/24,-3,48.5,52,Sun,11,11,@,PIT,L 16-18,-3,did not cover,48.5,under,early
34,LAR,11/17/24,-4.5,43.5,59,Sun,10,11,@,NWE,W 28-22,-4.5,covered,43.5,over,early
35,LVR,11/17/24,7.5,43.5,80,Sun,10,11,@,MIA,L 19-34,7.5,did not cover,43.5,over,early
36,IND,11/17/24,4,43.5,62,Sun,11,11,@,NYJ,W 28-27,4,covered,43.5,over,early
37,GNB,11/17/24,-5.5,40.5,54,Sun,10,11,@,CHI,W 20-19,-5.5,did not cover,40.5,under,early
38,JAX,11/17/24,14,47,68,Sun,11,11,@,DET,L 6-52,14,did not cover,47,over,early
39,CLE,11/17/24,-1,44,76,Sun,10,11,@,NOR,L 14-35,-1,did not cover,44,over,early
40,NYJ,11/17/24,-4,43.5,62,Sun,11,11,,IND,L 27-28,-4,did not cover,43.5,over,early
41,MIN,11/17/24,-6,39.5,66,Sun,10,11,@,TEN,W 23-13,-6,covered,39.5,under,early
42,TEN,11/17/24,6,39.5,66,Sun,10,11,,MIN,L 13-23,6,did not cover,39.5,under,early
43,NYG,11/10/24,-6.5,40.5,40,Sun,10,10,@,CAR,L 17-20 (OT),-6.5,did not cover,40.5,under,early
44,PIT,11/10/24,2.5,45.5,57,Sun,9,10,@,WAS,W 28-27,2.5,covered,45.5,over,early
45,CHI,11/10/24,-6,38.5,60,Sun,9,10,,NWE,L 3-19,-6,did not cover,38.5,under,early
46,JAX,11/10/24,7,43.5,79,Sun,10,10,,MIN,L 7-12,7,covered,43.5,under,early
47,BUF,11/10/24,-4,46.5,63,Sun,10,10,@,IND,W 30-20,-4,covered,46.5,over,early
48,CAR,11/10/24,6.5,40.5,40,Sun,10,10,,NYG,W 20-17 (OT),6.5,covered,40.5,under,early
49,MIN,11/10/24,-7,43.5,79,Sun,9,10,@,JAX,W 12-7,-7,did not cover,43.5,under,early
50,NOR,11/10/24,3.5,46.5,78,Sun,10,10,,ATL,W 20-17,3.5,covered,46.5,under,early
51,IND,11/10/24,4,46.5,63,Sun,10,10,,BUF,L 20-30,4,did not cover,46.5,over,early
52,WAS,11/10/24,-2.5,45.5,57,Sun,10,10,,PIT,L 27-28,-2.5,did not cover,45.5,over,early
53,DEN,11/10/24,7.5,42,57,Sun,10,10,@,KAN,L 14-16,7.5,covered,42,under,early
54,KAN,11/10/24,-7.5,42,57,Sun,9,10,,DEN,W 16-14,-7.5,did not cover,42,under,early
55,TAM,11/10/24,6.5,50.5,85,Sun,10,10,,SFO,L 20-23,6.5,covered,50.5,under,early
56,NWE,11/10/24,6,38.5,60,Sun,10,10,@,CHI,W 19-3,6,covered,38.5,under,early
57,SFO,11/10/24,-6.5,50.5,85,Sun,9,10,@,TAM,W 23-20,-6.5,did not cover,50.5,under,early
58,ATL,11/10/24,-3.5,46.5,78,Sun,10,10,@,NOR,L 17-20,-3.5,did not cover,46.5,under,early
59,CIN,11/3/24,-7,45,67,Sun,9,9,,LVR,W 41-24,-7,covered,45,over,early
60,LAC,11/3/24,-1,42.5,57,Sun,8,9,@,CLE,W 27-10,-1,covered,42.5,under,early
61,DAL,11/3/24,3,52,66,Sun,8,9,@,ATL,L 21-27,3,did not cover,52,under,early
62,DEN,11/3/24,9.5,46.5,57,Sun,9,9,@,BAL,L 10-41,9.5,did not cover,46.5,over,early
63,LVR,11/3/24,7,45,67,Sun,9,9,@,CIN,L 24-41,7,did not cover,45,over,early
64,NOR,11/3/24,-7,43.5,66,Sun,9,9,@,CAR,L 22-23,-7,did not cover,43.5,over,early
65,CAR,11/3/24,7,43.5,66,Sun,9,9,,NOR,W 23-22,7,covered,43.5,over,early
66,MIA,11/3/24,6,49.5,54,Sun,8,9,@,BUF,L 27-30,6,covered,49.5,over,early
67,BUF,11/3/24,-6,49.5,54,Sun,9,9,,MIA,W 30-27,-6,did not cover,49.5,over,early
68,NYG,11/3/24,4,44,52,Sun,9,9,,WAS,L 22-27,4,did not cover,44,over,early
