Season,Team,win_percentage,Date,G#,Week,Game time,Rk,Spread...4,Over/Under...5,Temperature,Day,Location,Opp,Result,Spread...13,vs. Line,Over/Under...15,OU Result,after_bye
2024,DET,0.923,2024-11-28,12,13,early,23,-9.5,48,38,Thu,home,CHI,W 23-20,-9.5,did not cover,48,under,0
2024,DET,0.923,2024-11-24,11,12,early,33,-7.5,50,51,Sun,away,IND,W 24-6,-7.5,covered,50,under,0
2024,DET,0.923,2024-11-17,10,11,early,57,-14,47,68,Sun,home,JAX,W 52-6,-14,covered,47,over,0
2024,DET,0.923,2024-10-27,7,8,early,139,-11.5,44.5,56,Sun,home,TEN,W 52-14,-11.5,covered,44.5,over,0
2024,DET,0.923,2024-10-20,6,7,early,169,1,50.5,69,Sun,away,MIN,W 31-29,1,covered,50.5,over,0
2024,DET,0.923,2024-09-15,2,2,early,311,-7.5,51.5,68,Sun,home,TAM,L 16-20,-7.5,did not cover,51.5,under,0
2024,DET,0.923,2024-11-03,8,9,afternoon,111,-2.5,47.5,50,Sun,away,GNB,W 24-14,-2.5,covered,47.5,under,0
2024,DET,0.923,2024-10-13,5,6,afternoon,24,-3.5,52.5,98,Sun,away,DAL,W 47-9,-3.5,covered,52.5,over,1
2024,DET,0.923,2024-09-22,3,3,afternoon,281,-2.5,51.5,93,Sun,away,ARI,W 20-13,-2.5,covered,51.5,under,0
2024,DET,0.923,2024-12-05,13,14,night,1,-3.5,51.5,68,Thu,home,GNB,W 34-31,-3.5,did not cover,51.5,over,0
2024,DET,0.923,2024-11-10,9,10,night,83,-3.5,49,73,Sun,away,HOU,W 26-23,-3.5,did not cover,49,push,0
2024,DET,0.923,2024-09-30,4,4,night,237,-4,47,71,Mon,home,SEA,W 42-29,-4,covered,47,over,0
2024,DET,0.923,2024-09-08,1,1,night,345,-4.5,52.5,69,Sun,home,LAR,W 26-20 (OT),-4.5,covered,52.5,under,0
2024,KAN,0.917,2024-11-24,11,12,early,36,-11,43,61,Sun,away,CAR,W 30-27,-11,did not cover,43,over,0
2024,KAN,0.917,2024-11-10,9,10,early,86,-7.5,42,57,Sun,home,DEN,W 16-14,-7.5,did not cover,42,under,0
2024,KAN,0.917,2024-11-29,12,13,afternoon,19,-13,42.5,37,Fri,home,LVR,W 19-17,-13,did not cover,42.5,under,0
2024,KAN,0.917,2024-11-17,10,11,afternoon,59,1.5,46,50,Sun,away,BUF,L 21-30,1.5,did not cover,46,over,0
2024,KAN,0.917,2024-10-27,7,8,afternoon,143,-10,41.5,80,Sun,away,LVR,W 27-20,-10,did not cover,41.5,over,0
2024,KAN,0.917,2024-10-20,6,7,afternoon,17,1.5,47,78,Sun,away,SFO,W 28-18,1.5,covered,47,under,1
2024,KAN,0.917,2024-09-29,4,4,afternoon,253,-7,41,68,Sun,away,LAC,W 17-10,-7,push,41,under,0
2024,KAN,0.917,2024-09-15,2,2,afternoon,315,-6,48,89,Sun,home,CIN,W 26-25,-6,did not cover,48,over,0
2024,KAN,0.917,2024-11-04,8,9,night,99,-9,45.5,63,Mon,home,TAM,W 30-24 (OT),-9,did not cover,45.5,over,0
2024,KAN,0.917,2024-10-07,5,5,night,209,-5.5,43,70,Mon,home,NOR,W 26-13,-5.5,covered,43,under,0
2024,KAN,0.917,2024-09-22,3,3,night,284,-3,46.5,89,Sun,away,ATL,W 22-17,-3,covered,46.5,under,0
2024,KAN,0.917,2024-09-05,1,1,night,363,-3,47,67,Thu,home,BAL,W 27-20,-3,covered,47,push,0
2024,BUF,0.833,2024-11-10,10,10,early,76,-4,46.5,63,Sun,away,IND,W 30-20,-4,covered,46.5,over,0
2024,BUF,0.833,2024-11-03,9,9,early,102,-6,49.5,54,Sun,home,MIA,W 30-27,-6,did not cover,49.5,over,0
2024,BUF,0.833,2024-10-20,7,7,early,164,-9.5,41,66,Sun,home,TEN,W 34-10,-9.5,covered,41,over,0
2024,BUF,0.833,2024-10-06,5,5,early,211,1,47.5,86,Sun,away,HOU,L 20-23,1,did not cover,47.5,under,0
2024,BUF,0.833,2024-09-08,1,1,early,336,-6.5,46.5,61,Sun,home,ARI,W 34-28,-6.5,did not cover,46.5,over,0
2024,BUF,0.833,2024-11-17,11,11,afternoon,52,-1.5,46,50,Sun,home,KAN,W 30-21,-1.5,covered,46,over,0
2024,BUF,0.833,2024-10-27,8,8,afternoon,132,-3,45.5,55,Sun,away,SEA,W 31-10,-3,covered,45.5,under,0
2024,BUF,0.833,2024-12-01,12,13,night,1,-6,44.5,28,Sun,home,SFO,W 35-10,-6,covered,44.5,over,1
2024,BUF,0.833,2024-10-14,6,6,night,185,-1,40.5,49,Mon,away,NYJ,W 23-20,-1,covered,40.5,over,0
2024,BUF,0.833,2024-09-29,4,4,night,242,2.5,46.5,68,Sun,away,BAL,L 10-35,2.5,did not cover,46.5,under,0
2024,BUF,0.833,2024-09-23,3,3,night,269,-5.5,45.5,68,Mon,home,JAX,W 47-10,-5.5,covered,45.5,over,0
2024,BUF,0.833,2024-09-12,2,2,night,331,2,49,86,Thu,away,MIA,W 31-10,2,covered,49,under,0
2024,MIN,0.833,2024-12-01,12,13,early,8,-3.5,44.5,12,Sun,home,ARI,W 23-22,-3.5,did not cover,44.5,over,0
2024,MIN,0.833,2024-11-24,11,12,early,38,-3.5,39.5,47,Sun,away,CHI,W 30-27 (OT),-3.5,did not cover,39.5,over,0
2024,MIN,0.833,2024-11-17,10,11,early,61,-6,39.5,66,Sun,away,TEN,W 23-13,-6,covered,39.5,under,0
2024,MIN,0.833,2024-11-10,9,10,early,87,-7,43.5,79,Sun,away,JAX,W 12-7,-7,did not cover,43.5,under,0
2024,MIN,0.833,2024-10-20,6,7,early,19,-1,50.5,69,Sun,home,DET,L 29-31,-1,did not cover,50.5,over,1
2024,MIN,0.833,2024-10-06,5,5,early,224,-2.5,41,59,Sun,home,NYJ,W 23-17,-2.5,covered,41,under,0
