Rk,Team,Date,Spread,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,after_bye
1,BUF,12/1/24,-6,44.5,28,Sun,12,13,,SFO,W 35-10,-6,covered,44.5,over,1
2,NYJ,12/1/24,0,42,37,Sun,12,13,,SEA,L 21-26,0,did not cover,42,over,1
3,CIN,12/1/24,-3,47,32,Sun,12,13,,PIT,L 38-44,-3,did not cover,47,over,1
4,NOR,12/1/24,2.5,49.5,64,Sun,12,13,,LAR,L 14-21,2.5,did not cover,49.5,under,1
5,TAM,11/24/24,-6,40.5,50,Sun,11,12,@,NYG,W 30-7,-6,covered,40.5,under,1
6,NYG,11/24/24,6,40.5,50,Sun,11,12,,TAM,L 7-30,6,did not cover,40.5,under,1
7,CAR,11/24/24,11,43,61,Sun,11,12,,KAN,L 27-30,11,covered,43,over,1
8,ARI,11/24/24,0,47,45,Sun,11,12,@,SEA,L 6-16,0,did not cover,47,under,1
9,GNB,11/17/24,-5.5,40.5,54,Sun,10,11,@,CHI,W 20-19,-5.5,did not cover,40.5,under,1
10,CLE,11/17/24,-1,44,76,Sun,10,11,@,NOR,L 14-35,-1,did not cover,44,over,1
11,LVR,11/17/24,7.5,43.5,80,Sun,10,11,@,MIA,L 19-34,7.5,did not cover,43.5,over,1
12,SEA,11/17/24,6.5,48,59,Sun,10,11,@,SFO,W 20-17,6.5,covered,48,under,1
13,SFO,11/10/24,-6.5,50.5,85,Sun,9,10,@,TAM,W 23-20,-6.5,did not cover,50.5,under,1
14,PIT,11/10/24,2.5,45.5,57,Sun,9,10,@,WAS,W 28-27,2.5,covered,45.5,over,1
15,CHI,10/27/24,-1,45,58,Sun,7,8,@,WAS,L 15-18,-1,did not cover,45,under,1
16,DAL,10/27/24,4.5,47,69,Sun,7,8,@,SFO,L 24-30,4.5,did not cover,47,over,1
17,KAN,10/20/24,1.5,47,78,Sun,6,7,@,SFO,W 28-18,1.5,covered,47,under,1
