Rk,Season,Team,W-L%,G,W,L,T,W-L%,Pts,PtsO,PtDif
1,2024,DET,0.923,13,12,1,0,0.923,417,234,183
2,2024,KAN,0.917,12,11,1,0,0.917,289,235,54
3,2024,BUF,0.833,12,10,2,0,0.833,355,224,131
4,2024,MIN,0.833,12,10,2,0,0.833,297,219,78
5,2024,PHI,0.833,12,10,2,0,0.833,320,218,102
6,2022,KAN,0.824,17,14,3,0,0.824,496,369,127
7,2022,PHI,0.824,17,14,3,0,0.824,477,344,133
8,2022,BUF,0.813,16,13,3,0,0.813,455,286,169
9,2023,BAL,0.765,17,13,4,0,0.765,483,280,203
10,2022,MIN,0.765,17,13,4,0,0.765,424,427,-3
11,2022,SFO,0.765,17,13,4,0,0.765,450,277,173
12,2021,GNB,0.765,17,13,4,0,0.765,450,371,79
13,2021,TAM,0.765,17,13,4,0,0.765,511,353,158
14,2024,PIT,0.75,12,9,3,0,0.75,296,224,72
15,2022,CIN,0.75,16,12,4,0,0.75,418,322,96
16,2023,DAL,0.706,17,12,5,0,0.706,509,315,194
17,2023,DET,0.706,17,12,5,0,0.706,461,395,66
18,2023,SFO,0.706,17,12,5,0,0.706,491,298,193
19,2022,DAL,0.706,17,12,5,0,0.706,467,342,125
20,2021,DAL,0.706,17,12,5,0,0.706,530,358,172
21,2021,KAN,0.706,17,12,5,0,0.706,480,364,116
22,2021,TEN,0.706,17,12,5,0,0.706,419,354,65
23,2021,LAR,0.706,17,12,5,0,0.706,460,372,88
24,2024,GNB,0.692,13,9,4,0,0.692,349,274,75
25,2024,LAC,0.667,12,8,4,0,0.667,260,188,72
26,2023,BUF,0.647,17,11,6,0,0.647,451,311,140
27,2023,CLE,0.647,17,11,6,0,0.647,396,362,34
28,2023,KAN,0.647,17,11,6,0,0.647,371,294,77
29,2023,MIA,0.647,17,11,6,0,0.647,496,391,105
30,2023,PHI,0.647,17,11,6,0,0.647,433,428,5
31,2021,BUF,0.647,17,11,6,0,0.647,483,289,194
32,2021,ARI,0.647,17,11,6,0,0.647,449,366,83
33,2024,DEN,0.615,13,8,5,0,0.615,305,234,71
34,2024,HOU,0.615,13,8,5,0,0.615,308,288,20
35,2024,BAL,0.615,13,8,5,0,0.615,383,318,65
36,2024,WAS,0.615,13,8,5,0,0.615,376,296,80
37,2023,HOU,0.588,17,10,7,0,0.588,377,353,24
38,2023,PIT,0.588,17,10,7,0,0.588,304,324,-20
39,2023,LAR,0.588,17,10,7,0,0.588,404,377,27
40,2022,BAL,0.588,17,10,7,0,0.588,350,315,35
41,2022,LAC,0.588,17,10,7,0,0.588,391,384,7
42,2021,CIN,0.588,17,10,7,0,0.588,460,376,84
43,2021,NWE,0.588,17,10,7,0,0.588,462,303,159
44,2021,LVR,0.588,17,10,7,0,0.588,374,439,-65
45,2021,SFO,0.588,17,10,7,0,0.588,427,365,62
46,2024,SEA,0.583,12,7,5,0,0.583,272,265,7
47,2022,NYG,0.559,17,9,7,1,0.559,365,371,-6
48,2021,PIT,0.559,17,9,7,1,0.559,343,398,-55
49,2023,CIN,0.529,17,9,8,0,0.529,366,384,-18
50,2023,IND,0.529,17,9,8,0,0.529,396,415,-19
51,2023,GNB,0.529,17,9,8,0,0.529,383,350,33
52,2023,JAX,0.529,17,9,8,0,0.529,377,371,6
53,2023,NOR,0.529,17,9,8,0,0.529,402,327,75
54,2023,SEA,0.529,17,9,8,0,0.529,364,402,-38
55,2023,TAM,0.529,17,9,8,0,0.529,348,325,23
56,2022,DET,0.529,17,9,8,0,0.529,453,427,26
57,2022,JAX,0.529,17,9,8,0,0.529,404,350,54
58,2022,MIA,0.529,17,9,8,0,0.529,397,399,-2
59,2022,PIT,0.529,17,9,8,0,0.529,308,346,-38
60,2022,SEA,0.529,17,9,8,0,0.529,407,401,6
61,2021,IND,0.529,17,9,8,0,0.529,451,365,86
62,2021,MIA,0.529,17,9,8,0,0.529,341,373,-32
63,2021,NOR,0.529,17,9,8,0,0.529,364,335,29
64,2021,PHI,0.529,17,9,8,0,0.529,444,385,59
65,2021,LAC,0.529,17,9,8,0,0.529,474,459,15
66,2024,ATL,0.5,12,6,6,0,0.5,257,291,-34
67,2024,ARI,0.5,12,6,6,0,0.5,266,259,7
68,2024,LAR,0.5,12,6,6,0,0.5,254,290,-36
69,2024,TAM,0.5,12,6,6,0,0.5,335,296,39
70,2022,WAS,0.5,17,8,8,1,0.5,321,343,-22
71,2023,DEN,0.471,17,8,9,0,0.471,357,413,-56
72,2023,LVR,0.471,17,8,9,0,0.471,332,331,1
73,2022,GNB,0.471,17,8,9,0,0.471,370,371,-1
74,2022,NWE,0.471,17,8,9,0,0.471,364,347,17
75,2022,TAM,0.471,17,8,9,0,0.471,313,358,-45
76,2021,CLE,0.471,17,8,9,0,0.471,349,371,-22
77,2021,MIN,0.471,17,8,9,0,0.471,425,426,-1
78,2021,BAL,0.471,17,8,9,0,0.471,387,392,-5
79,2024,IND,0.462,13,6,7,0,0.462,267,298,-31
80,2024,DAL,0.417,12,5,7,0,0.417,248,339,-91
81,2024,MIA,0.417,12,5,7,0,0.417,232,266,-34
82,2024,SFO,0.417,12,5,7,0,0.417,270,295,-25
83,2023,ATL,0.412,17,7,10,0,0.412,321,373,-52
84,2023,CHI,0.412,17,7,10,0,0.412,360,379,-19
85,2023,MIN,0.412,17,7,10,0,0.412,344,362,-18
86,2023,NYJ,0.412,17,7,10,0,0.412,268,355,-87
87,2022,ATL,0.412,17,7,10,0,0.412,365,386,-21
88,2022,CAR,0.412,17,7,10,0,0.412,347,374,-27
89,2022,CLE,0.412,17,7,10,0,0.412,361,381,-20
90,2022,NOR,0.412,17,7,10,0,0.412,330,345,-15
91,2022,NYJ,0.412,17,7,10,0,0.412,296,316,-20
92,2022,TEN,0.412,17,7,10,0,0.412,298,359,-61
93,2021,ATL,0.412,17,7,10,0,0.412,313,459,-146
94,2021,DEN,0.412,17,7,10,0,0.412,335,322,13
95,2021,SEA,0.412,17,7,10,0,0.412,395,366,29
96,2021,WAS,0.412,17,7,10,0,0.412,335,434,-99
97,2023,NYG,0.353,17,6,11,0,0.353,266,407,-141
98,2023,TEN,0.353,17,6,11,0,0.353,305,367,-62
99,2022,LVR,0.353,17,6,11,0,0.353,395,418,-23
100,2021,CHI,0.353,17,6,11,0,0.353,311,407,-96
101,2024,CHI,0.333,12,4,8,0,0.333,241,240,1
102,2024,CIN,0.333,12,4,8,0,0.333,335,340,-5
103,2024,NOR,0.333,12,4,8,0,0.333,276,281,-5
104,2023,LAC,0.294,17,5,12,0,0.294,346,398,-52
105,2022,DEN,0.294,17,5,12,0,0.294,287,359,-72
106,2022,LAR,0.294,17,5,12,0,0.294,307,384,-77
107,2021,CAR,0.294,17,5,12,0,0.294,304,404,-100
108,2022,IND,0.265,17,4,12,1,0.265,289,427,-138
109,2024,CAR,0.25,12,3,9,0,0.25,217,366,-149
110,2024,CLE,0.25,12,3,9,0,0.25,218,308,-90
111,2024,NYJ,0.25,12,3,9,0,0.25,225,268,-43
112,2024,TEN,0.25,12,3,9,0,0.25,221,332,-111
113,2023,ARI,0.235,17,4,13,0,0.235,330,455,-125
114,2023,NWE,0.235,17,4,13,0,0.235,236,366,-130
115,2023,WAS,0.235,17,4,13,0,0.235,329,518,-189
