,,,,,,,,,,,Vegas,,,
Rk,Team,Date,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result
1,ARI,11/10/24,46.5,79,Sun,10,10,,NYJ,W 31-6,1.5,covered,46.5,under
2,ARI,11/3/24,44.5,71,Sun,9,9,,CHI,W 29-9,-1.5,covered,44.5,under
3,ARI,10/27/24,46,82,Sun,8,8,@,MIA,W 28-27,4,covered,46,over
4,ARI,10/21/24,44.5,85,Mon,7,7,,LAC,W 17-15,1,covered,44.5,under
5,ARI,10/13/24,47,50,Sun,6,6,@,GNB,L 13-34,5.5,did not cover,47,push
6,ARI,10/6/24,49,89,Sun,5,5,@,SFO,W 24-23,7,covered,49,under
7,ARI,9/29/24,48.5,106,Sun,4,4,,WAS,L 14-42,-3.5,did not cover,48.5,over
8,ARI,9/22/24,51.5,93,Sun,3,3,,DET,L 13-20,2.5,did not cover,51.5,under
9,ARI,9/15/24,47.5,97,Sun,2,2,,LAR,W 41-10,0,covered,47.5,over
10,ARI,9/8/24,46.5,61,Sun,1,1,@,BUF,L 28-34,6.5,covered,46.5,over
11,ARI,1/7/24,47.5,48,Sun,17,18,,SEA,L 20-21,3,covered,47.5,under
12,ARI,12/31/23,48,45,Sun,16,17,@,PHI,W 35-31,12,covered,48,over
13,ARI,12/24/23,43,52,Sun,15,16,@,CHI,L 16-27,4,did not cover,43,push
14,ARI,12/17/23,48.5,76,Sun,14,15,,SFO,L 29-45,12,did not cover,48.5,over
15,ARI,12/3/23,41,56,Sun,13,13,@,PIT,W 24-10,6.5,covered,41,under
16,ARI,11/26/23,45,68,Sun,12,12,,LAR,L 14-37,2.5,did not cover,45,over
17,ARI,11/19/23,49,68,Sun,11,11,@,HOU,L 16-21,5.5,covered,49,under
18,ARI,11/12/23,43.5,0,Sun,10,10,,ATL,W 25-23,2.5,covered,43.5,over
19,ARI,11/5/23,38.5,56,Sun,9,9,@,CLE,L 0-27,13.5,did not cover,38.5,under
20,ARI,10/29/23,44.5,75,Sun,8,8,,BAL,L 24-31,9.5,covered,44.5,over
21,ARI,10/22/23,43.5,56,Sun,7,7,@,SEA,L 10-20,8.5,did not cover,43.5,under
22,ARI,10/15/23,47.5,82,Sun,6,6,@,LAR,L 9-26,7,did not cover,47.5,under
23,ARI,10/8/23,45.5,95,Sun,5,5,,CIN,L 20-34,3,did not cover,45.5,over
24,ARI,10/1/23,44.5,75,Sun,4,4,@,SFO,L 16-35,16.5,did not cover,44.5,over
25,ARI,9/24/23,43.5,93,Sun,3,3,,DAL,W 28-16,11.5,covered,43.5,over
26,ARI,9/17/23,36.5,97,Sun,2,2,,NYG,L 28-31,4.5,covered,36.5,over
27,ARI,9/10/23,38.5,76,Sun,1,1,@,WAS,L 16-20,6.5,covered,38.5,under
28,ARI,1/8/23,39.5,57,Sun,17,18,@,SFO,L 13-38,14,did not cover,39.5,over
29,ARI,1/1/23,41,66,Sun,16,17,@,ATL,L 19-20,6,covered,41,under
30,ARI,12/25/22,40.5,66,Sun,15,16,,TAM,L 16-19 (OT),7.5,covered,40.5,under
31,ARI,12/18/22,36.5,37,Sun,14,15,@,DEN,L 15-24,1.5,did not cover,36.5,over
32,ARI,12/12/22,43.5,54,Mon,13,14,,NWE,L 13-27,1.5,did not cover,43.5,under
33,ARI,11/27/22,48.5,64,Sun,12,12,,LAC,L 24-25,2.5,covered,48.5,over
34,ARI,11/21/22,43,64,Mon,11,11,,SFO,L 10-38,8,did not cover,43,over
35,ARI,11/13/22,39.5,68,Sun,10,10,@,LAR,W 27-17,2.5,covered,39.5,over
36,ARI,11/6/22,49,72,Sun,9,9,,SEA,L 21-31,-2,did not cover,49,over
37,ARI,10/30/22,48.5,56,Sun,8,8,@,MIN,L 26-34,3.5,did not cover,48.5,over
38,ARI,10/20/22,44,89,Thu,7,7,,NOR,W 42-34,-2.5,covered,44,over
39,ARI,10/16/22,50.5,72,Sun,6,6,@,SEA,L 9-19,-2.5,did not cover,50.5,under
40,ARI,10/9/22,49,0,Sun,5,5,,PHI,L 17-20,5,covered,49,under
41,ARI,10/2/22,43.5,66,Sun,4,4,@,CAR,W 26-16,1,covered,43.5,under
42,ARI,9/25/22,48.5,0,Sun,3,3,,LAR,L 12-20,3.5,did not cover,48.5,under
43,ARI,9/18/22,51.5,90,Sun,2,2,@,LVR,W 29-23 (OT),5.5,covered,51.5,over
44,ARI,9/11/22,54,0,Sun,1,1,,KAN,L 21-44,6.5,did not cover,54,over
45,ARI,1/9/22,48,70,Sun,17,18,,SEA,L 30-38,-5.5,did not cover,48,over
46,ARI,1/2/22,52.5,38,Sun,16,17,@,DAL,W 25-22,6.5,covered,52.5,under
47,ARI,12/25/21,49,61,Sat,15,16,,IND,L 16-22,-2,did not cover,49,under
48,ARI,12/19/21,48,28,Sun,14,15,@,DET,L 12-30,-13,did not cover,48,under
49,ARI,12/13/21,51.5,68,Mon,13,14,,LAR,L 23-30,-2.5,did not cover,51.5,over
50,ARI,12/5/21,42,34,Sun,12,13,@,CHI,W 33-22,-7.5,covered,42,over
51,ARI,11/21/21,47,46,Sun,11,11,@,SEA,W 23-13,2.5,covered,47,under
52,ARI,11/14/21,43,81,Sun,10,10,,CAR,L 10-34,-10.5,did not cover,43,over
53,ARI,11/7/21,45,57,Sun,9,9,@,SFO,W 31-17,3.5,covered,45,over
54,ARI,10/28/21,50.5,84,Thu,8,8,,GNB,L 21-24,-6.5,did not cover,50.5,under
55,ARI,10/24/21,47.5,82,Sun,7,7,,HOU,W 31-5,-18,covered,47.5,under
56,ARI,10/17/21,48.5,58,Sun,6,6,@,CLE,W 37-14,3.5,covered,48.5,over
57,ARI,10/10/21,48.5,81,Sun,5,5,,SFO,W 17-10,-5,covered,48.5,under
58,ARI,10/3/21,49.5,89,Sun,4,4,@,LAR,W 37-20,4,covered,49.5,over
59,ARI,9/26/21,51.5,81,Sun,3,3,@,JAX,W 31-19,-7.5,covered,51.5,under
60,ARI,9/19/21,50.5,93,Sun,2,2,,MIN,W 34-33,-3.5,did not cover,50.5,over
61,ARI,9/12/21,53.5,82,Sun,1,1,@,TEN,W 38-13,3,covered,53.5,under
62,ARI,1/3/21,42,59,Sun,16,17,@,LAR,L 7-18,1,did not cover,42,under
63,ARI,12/26/20,48.5,69,Sat,15,16,,SFO,L 12-20,-5,did not cover,48.5,under
64,ARI,12/20/20,49.5,66,Sun,14,15,,PHI,W 33-26,-6.5,covered,49.5,over
65,ARI,12/13/20,47.5,59,Sun,13,14,@,NYG,W 26-7,-3,covered,47.5,under
66,ARI,12/6/20,49,71,Sun,12,13,,LAR,L 28-38,2.5,did not cover,49,over
67,ARI,11/29/20,51,52,Sun,11,12,@,NWE,L 17-20,-1,did not cover,51,under
68,ARI,11/19/20,56.5,48,Thu,10,11,@,SEA,L 21-28,3,did not cover,56.5,under
69,ARI,11/15/20,56,78,Sun,9,10,,BUF,W 32-30,-3,did not cover,56,over
70,ARI,11/8/20,49,66,Sun,8,9,,MIA,L 31-34,-6,did not cover,49,over
71,ARI,10/25/20,55.5,84,Sun,7,7,,SEA,W 37-34 (OT),3.5,covered,55.5,over
72,ARI,10/19/20,55.5,64,Mon,6,6,@,DAL,W 38-10,1,covered,55.5,under
73,ARI,10/11/20,48.5,64,Sun,5,5,@,NYJ,W 30-10,-7,covered,48.5,under
74,ARI,10/4/20,52.5,68,Sun,4,4,@,CAR,L 21-31,-3,did not cover,52.5,under
75,ARI,9/13/20,48.5,66,Sun,1,1,@,SFO,W 24-20,7,covered,48.5,under
76,ARI,12/29/19,46,62,Sun,16,17,@,LAR,L 24-31,7,push,46,over
77,ARI,12/22/19,51,43,Sun,15,16,@,SEA,W 27-13,8,covered,51,under
78,ARI,12/15/19,49,66,Sun,14,15,,CLE,W 38-24,3,covered,49,over
79,ARI,12/1/19,47,64,Sun,12,13,,LAR,L 7-34,2.5,did not cover,47,under
80,ARI,11/17/19,44,72,Sun,11,11,@,SFO,L 26-36,10,push,44,over
81,ARI,11/10/19,51,77,Sun,10,10,@,TAM,L 27-30,5.5,covered,51,over
82,ARI,10/31/19,43.5,75,Thu,9,9,,SFO,L 25-28,10.5,covered,43.5,over
83,ARI,10/27/19,47.5,65,Sun,8,8,@,NOR,L 9-31,12.5,did not cover,47.5,under
84,ARI,10/20/19,49.5,56,Sun,7,7,@,NYG,W 27-21,3.5,covered,49.5,under
85,ARI,10/6/19,45,76,Sun,5,5,@,CIN,W 26-23,3,covered,45,over
86,ARI,9/15/19,46,82,Sun,2,2,@,BAL,L 17-23,13,covered,46,under
87,ARI,12/30/18,39.5,45,Sun,16,17,@,SEA,L 24-27,14,covered,39.5,over
88,ARI,12/23/18,43,72,Sun,15,16,,LAR,L 9-31,14.5,did not cover,43,under
89,ARI,12/9/18,40.5,70,Sun,13,14,,DET,L 3-17,2.5,did not cover,40.5,under
90,ARI,12/2/18,41,34,Sun,12,13,@,GNB,W 20-17,13.5,covered,41,under
91,ARI,11/25/18,43,74,Sun,11,12,@,LAC,L 10-45,14,did not cover,43,over
