season,date,home_team,away_team,temperature,divisional,week,game_time,over_under,day,ou_result,win_percentage_home,win_percentage_away,spread_home,spread_away,result_home,result_away,vs_line_home,vs_line_away,after_bye_home,after_bye_away,actual_result_home,actual_result_away
2024,2024-11-28,DET,CHI,38,1,13,early,48,Thu,under,0.923,0.333,-9.5,9.5,W 23-20,L 20-23,did not cover,covered,0,0,-3,3
2024,2024-11-24,IND,DET,51,0,12,early,50,Sun,under,0.462,0.923,7.5,-7.5,L 6-24,W 24-6,did not cover,covered,0,0,18,-18
2024,2024-11-17,DET,JAX,68,0,11,early,47,Sun,over,0.923,0.167,-14,14,W 52-6,L 6-52,covered,did not cover,0,0,-46,46
2024,2024-10-27,DET,TEN,56,0,8,early,44.5,Sun,over,0.923,0.25,-11.5,11.5,W 52-14,L 14-52,covered,did not cover,0,0,-38,38
2024,2024-10-20,MIN,DET,69,1,7,early,50.5,Sun,over,0.833,0.923,-1,1,L 29-31,W 31-29,did not cover,covered,1,0,2,-2
2024,2024-09-15,DET,TAM,68,0,2,early,51.5,Sun,under,0.923,0.5,-7.5,7.5,L 16-20,W 20-16,did not cover,covered,0,0,4,-4
2024,2024-11-03,GNB,DET,50,1,9,afternoon,47.5,Sun,under,0.692,0.923,2.5,-2.5,L 14-24,W 24-14,did not cover,covered,0,0,10,-10
2024,2024-10-13,DAL,DET,98,0,6,afternoon,52.5,Sun,over,0.417,0.923,3.5,-3.5,L 9-47,W 47-9,did not cover,covered,0,1,38,-38
2024,2024-09-22,ARI,DET,93,0,3,afternoon,51.5,Sun,under,0.5,0.923,2.5,-2.5,L 13-20,W 20-13,did not cover,covered,0,0,7,-7
2024,2024-12-05,DET,GNB,68,1,14,night,51.5,Thu,over,0.923,0.692,-3.5,3.5,W 34-31,L 31-34,did not cover,covered,0,0,-3,3
2024,2024-11-10,HOU,DET,73,0,10,night,49,Sun,push,0.615,0.923,3.5,-3.5,L 23-26,W 26-23,covered,did not cover,0,0,3,-3
2024,2024-09-30,DET,SEA,71,0,4,night,47,Mon,over,0.923,0.583,-4,4,W 42-29,L 29-42,covered,did not cover,0,0,-13,13
2024,2024-09-08,DET,LAR,69,0,1,night,52.5,Sun,under,0.923,0.5,-4.5,4.5,W 26-20 (OT),L 20-26 (OT),covered,did not cover,0,0,-6,6
2024,2024-11-24,CAR,KAN,61,0,12,early,43,Sun,over,0.25,0.917,11,-11,L 27-30,W 30-27,covered,did not cover,1,0,3,-3
2024,2024-11-10,KAN,DEN,57,1,10,early,42,Sun,under,0.917,0.615,-7.5,7.5,W 16-14,L 14-16,did not cover,covered,0,0,-2,2
2024,2024-11-29,KAN,LVR,37,1,13,afternoon,42.5,Fri,under,0.917,0.167,-13,13,W 19-17,L 17-19,did not cover,covered,0,0,-2,2
2024,2024-11-17,BUF,KAN,50,0,11,afternoon,46,Sun,over,0.833,0.917,-1.5,1.5,W 30-21,L 21-30,covered,did not cover,0,0,-9,9
2024,2024-10-27,LVR,KAN,80,1,8,afternoon,41.5,Sun,over,0.167,0.917,10,-10,L 20-27,W 27-20,covered,did not cover,0,0,7,-7
2024,2024-10-20,SFO,KAN,78,0,7,afternoon,47,Sun,under,0.417,0.917,-1.5,1.5,L 18-28,W 28-18,did not cover,covered,0,1,10,-10
2024,2024-09-29,LAC,KAN,68,1,4,afternoon,41,Sun,under,0.667,0.917,7,-7,L 10-17,W 17-10,push,push,0,0,7,-7
2024,2024-09-15,KAN,CIN,89,0,2,afternoon,48,Sun,over,0.917,0.333,-6,6,W 26-25,L 25-26,did not cover,covered,0,0,-1,1
2024,2024-11-04,KAN,TAM,63,0,9,night,45.5,Mon,over,0.917,0.5,-9,9,W 30-24 (OT),L 24-30 (OT),did not cover,covered,0,0,-6,6
2024,2024-10-07,KAN,NOR,70,0,5,night,43,Mon,under,0.917,0.333,-5.5,5.5,W 26-13,L 13-26,covered,did not cover,0,0,-13,13
2024,2024-09-22,ATL,KAN,89,0,3,night,46.5,Sun,under,0.5,0.917,3,-3,L 17-22,W 22-17,did not cover,covered,0,0,5,-5
2024,2024-09-05,KAN,BAL,67,0,1,night,47,Thu,push,0.917,0.615,-3,3,W 27-20,L 20-27,covered,did not cover,0,0,-7,7
2024,2024-11-10,IND,BUF,63,0,10,early,46.5,Sun,over,0.462,0.833,4,-4,L 20-30,W 30-20,did not cover,covered,0,0,10,-10
2024,2024-11-03,BUF,MIA,54,1,9,early,49.5,Sun,over,0.833,0.417,-6,6,W 30-27,L 27-30,did not cover,covered,0,0,-3,3
2024,2024-10-20,BUF,TEN,66,0,7,early,41,Sun,over,0.833,0.25,-9.5,9.5,W 34-10,L 10-34,covered,did not cover,0,0,-24,24
2024,2024-10-06,HOU,BUF,86,0,5,early,47.5,Sun,under,0.615,0.833,-1,1,W 23-20,L 20-23,covered,did not cover,0,0,-3,3
2024,2024-09-08,BUF,ARI,61,0,1,early,46.5,Sun,over,0.833,0.5,-6.5,6.5,W 34-28,L 28-34,did not cover,covered,0,0,-6,6
2024,2024-10-27,SEA,BUF,55,0,8,afternoon,45.5,Sun,under,0.583,0.833,3,-3,L 10-31,W 31-10,did not cover,covered,0,0,21,-21
2024,2024-12-01,BUF,SFO,28,0,13,night,44.5,Sun,over,0.833,0.417,-6,6,W 35-10,L 10-35,covered,did not cover,1,0,-25,25
2024,2024-10-14,NYJ,BUF,49,1,6,night,40.5,Mon,over,0.25,0.833,1,-1,L 20-23,W 23-20,did not cover,covered,0,0,3,-3
2024,2024-09-29,BAL,BUF,68,0,4,night,46.5,Sun,under,0.615,0.833,-2.5,2.5,W 35-10,L 10-35,covered,did not cover,0,0,-25,25
2024,2024-09-23,BUF,JAX,68,0,3,night,45.5,Mon,over,0.833,0.167,-5.5,5.5,W 47-10,L 10-47,covered,did not cover,0,0,-37,37
2024,2024-09-12,MIA,BUF,86,1,2,night,49,Thu,under,0.417,0.833,-2,2,L 10-31,W 31-10,did not cover,covered,0,0,21,-21
2024,2024-12-01,MIN,ARI,12,0,13,early,44.5,Sun,over,0.833,0.5,-3.5,3.5,W 23-22,L 22-23,did not cover,covered,0,0,-1,1
2024,2024-11-24,CHI,MIN,47,1,12,early,39.5,Sun,over,0.333,0.833,3.5,-3.5,L 27-30 (OT),W 30-27 (OT),covered,did not cover,0,0,3,-3
2024,2024-11-17,TEN,MIN,66,0,11,early,39.5,Sun,under,0.25,0.833,6,-6,L 13-23,W 23-13,did not cover,covered,0,0,10,-10
2024,2024-11-10,JAX,MIN,79,0,10,early,43.5,Sun,under,0.167,0.833,7,-7,L 7-12,W 12-7,covered,did not cover,0,0,5,-5
